game_date,season_id,team_id,team_abbreviation,team_name,matchup,wl,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,team1,team2,elo1_pre,elo2_pre,elo1_post,elo2_post,raptor1_pre,raptor2_pre,score1,score2,quality,importance,total_rating
2022-10-18,2023,1610612738,BOS,Boston Celtics,BOS vs. PHI,1.0,46.0,82.0,0.561,12.0,35.0,0.343,22.0,28.0,0.786,6.0,30.0,36.0,24.0,8.0,3.0,11.0,24.0,126,9,BOS,PHI,1657.63974912662,1582.24732707837,1662.1988835837,1577.68819262129,1693.24307892722,1641.87672921531,126.0,117.0,96,13.0,55.0
2022-10-21,2023,1610612738,BOS,Boston Celtics,BOS @ MIA,1.0,41.0,79.0,0.519,14.0,33.0,0.424,15.0,15.0,1.0,12.0,31.0,43.0,17.0,4.0,11.0,20.0,23.0,111,7,BOS,MIA,1662.1988835837,1598.81471441712,1671.77551676643,1589.23808123439,1690.60271534175,1640.93918980306,111.0,104.0,96,23.0,60.0
2022-10-22,2023,1610612738,BOS,Boston Celtics,BOS @ ORL,1.0,42.0,87.0,0.483,19.0,47.0,0.404,23.0,28.0,0.821,7.0,30.0,37.0,24.0,5.0,6.0,8.0,21.0,126,6,BOS,ORL,1671.77551676643,1359.47971525253,1674.78405889639,1356.47117312257,1675.72334429179,1298.29156138865,126.0,120.0,35,2.0,19.0
2022-10-24,2023,1610612738,BOS,Boston Celtics,BOS @ CHI,0.0,37.0,100.0,0.37,18.0,48.0,0.375,10.0,12.0,0.833,14.0,31.0,45.0,26.0,5.0,7.0,11.0,24.0,102,-18,BOS,CHI,1674.78405889639,1433.37230242662,1650.98295789301,1457.17340343,1698.72295665143,1478.64291081308,102.0,120.0,80,17.0,49.0
2022-10-28,2023,1610612738,BOS,Boston Celtics,BOS vs. CLE,0.0,42.0,82.0,0.512,13.0,33.0,0.394,26.0,32.0,0.813,5.0,29.0,34.0,28.0,9.0,2.0,19.0,27.0,123,-9,BOS,CLE,1650.98295789301,1523.83977475397,1632.25719155857,1542.56554108841,1699.0807584617,1505.46904583083,123.0,132.0,84,11.0,48.0
2022-10-30,2023,1610612738,BOS,Boston Celtics,BOS vs. WAS,1.0,36.0,79.0,0.456,21.0,47.0,0.447,19.0,20.0,0.95,4.0,43.0,47.0,29.0,4.0,5.0,14.0,15.0,112,18,BOS,WAS,1632.25719155857,1439.20554299933,1636.11104459767,1435.35168996023,1664.52634818076,1446.88378469441,112.0,94.0,70,8.0,39.0
2022-11-02,2023,1610612738,BOS,Boston Celtics,BOS @ CLE,0.0,38.0,93.0,0.409,11.0,41.0,0.268,26.0,27.0,0.963,8.0,44.0,52.0,26.0,5.0,9.0,14.0,24.0,113,-1,BOS,CLE,1636.11104459767,1550.1892941566,1632.2760166442,1554.02432211007,1662.45726174482,1571.26403293437,113.0,114.0,89,23.0,56.0
2022-11-04,2023,1610612738,BOS,Boston Celtics,BOS vs. CHI,1.0,41.0,83.0,0.494,9.0,31.0,0.29,32.0,39.0,0.821,7.0,32.0,39.0,24.0,5.0,7.0,14.0,23.0,123,4,BOS,CHI,1632.2760166442,1480.40478063345,1634.27643703889,1478.40436023876,1660.16911464786,1497.18607577999,123.0,119.0,78,17.0,48.0
2022-11-05,2023,1610612738,BOS,Boston Celtics,BOS @ NYK,1.0,47.0,88.0,0.534,27.0,51.0,0.529,12.0,12.0,1.0,8.0,26.0,34.0,30.0,5.0,2.0,13.0,17.0,133,15,BOS,NYK,1634.27643703889,1510.71557589024,1646.59608068799,1498.39593224114,1654.1281898395,1521.27687749749,133.0,118.0,81,36.0,59.0
2022-11-07,2023,1610612738,BOS,Boston Celtics,BOS @ MEM,1.0,38.0,82.0,0.463,12.0,37.0,0.324,21.0,28.0,0.75,7.0,38.0,45.0,26.0,5.0,6.0,15.0,19.0,109,3,BOS,MEM,1646.59608068799,1607.2901849535,1653.48816401896,1600.39810162253,1664.0812393088,1605.2887289087,109.0,106.0,92,10.0,51.0
2022-11-09,2023,1610612738,BOS,Boston Celtics,BOS vs. DET,1.0,47.0,88.0,0.534,18.0,46.0,0.391,16.0,21.0,0.762,8.0,35.0,43.0,31.0,5.0,4.0,13.0,25.0,128,16,BOS,DET,1653.48816401896,1365.61227610501,1655.56629853669,1363.53414158728,1664.30822325464,1347.28840902684,128.0,112.0,46,1.0,24.0
2022-11-11,2023,1610612738,BOS,Boston Celtics,BOS vs. DEN,1.0,50.0,90.0,0.556,16.0,37.0,0.432,15.0,20.0,0.75,10.0,36.0,46.0,30.0,3.0,5.0,7.0,19.0,131,19,BOS,DEN,1655.56629853669,1545.99936254854,1661.80323954611,1539.76242153912,1671.9130836775,1602.45909368962,131.0,112.0,92,8.0,50.0
2022-11-12,2023,1610612738,BOS,Boston Celtics,BOS @ DET,1.0,39.0,91.0,0.429,18.0,48.0,0.375,21.0,24.0,0.875,9.0,33.0,42.0,27.0,6.0,4.0,7.0,17.0,117,9,BOS,DET,1661.80323954611,1360.23645701682,1665.80339213432,1356.23630442861,1652.72161315368,1320.5649653344,117.0,108.0,37,3.0,20.0
2022-11-14,2023,1610612738,BOS,Boston Celtics,BOS vs. OKC,1.0,46.0,96.0,0.479,10.0,37.0,0.27,24.0,29.0,0.828,10.0,36.0,46.0,25.0,15.0,7.0,14.0,20.0,126,4,BOS,OKC,1665.80339213432,1419.85465978837,1666.99325663755,1418.66479528514,1675.87603111548,1414.20412185197,126.0,122.0,65,3.0,34.0
2022-11-16,2023,1610612738,BOS,Boston Celtics,BOS @ ATL,1.0,48.0,88.0,0.545,21.0,46.0,0.457,9.0,10.0,0.9,6.0,43.0,49.0,29.0,4.0,8.0,15.0,20.0,126,25,BOS,ATL,1666.99325663755,1570.27585588267,1686.39724560571,1550.87186691451,1666.9153413932,1573.63862003795,126.0,101.0,89,21.0,55.0
2022-11-18,2023,1610612738,BOS,Boston Celtics,BOS @ NOP,1.0,41.0,85.0,0.482,20.0,46.0,0.435,15.0,17.0,0.882,11.0,35.0,46.0,28.0,6.0,3.0,17.0,13.0,117,8,BOS,NOP,1686.39724560571,1569.94929434657,1694.93471442281,1561.41182552947,1683.90659708326,1562.48333437223,117.0,109.0,90,27.0,59.0
2022-11-21,2023,1610612738,BOS,Boston Celtics,BOS @ CHI,0.0,38.0,87.0,0.437,19.0,50.0,0.38,12.0,17.0,0.706,5.0,33.0,38.0,28.0,3.0,4.0,15.0,18.0,107,-14,BOS,CHI,1694.93471442281,1448.26457137655,1674.55304685767,1468.64623894169,1692.56633246361,1476.54626708581,107.0,121.0,79,27.0,53.0
2022-11-23,2023,1610612738,BOS,Boston Celtics,BOS vs. DAL,1.0,45.0,84.0,0.536,17.0,34.0,0.5,18.0,21.0,0.857,6.0,32.0,38.0,29.0,4.0,4.0,12.0,22.0,125,13,BOS,DAL,1674.55304685767,1571.10454810741,1679.54049627631,1566.11709868877,1675.70528490666,1607.89100846395,125.0,112.0,93,17.0,55.0
2022-11-25,2023,1610612738,BOS,Boston Celtics,BOS vs. SAC,1.0,41.0,83.0,0.494,16.0,37.0,0.432,24.0,27.0,0.889,4.0,34.0,38.0,27.0,9.0,6.0,10.0,24.0,122,18,BOS,SAC,1679.54049627631,1485.86910370239,1683.38121948133,1482.02838049737,1686.1189575681,1493.00588089557,122.0,104.0,81,16.0,49.0
2022-11-27,2023,1610612738,BOS,Boston Celtics,BOS vs. WAS,1.0,44.0,80.0,0.55,16.0,34.0,0.471,26.0,26.0,1.0,10.0,28.0,38.0,25.0,2.0,5.0,14.0,23.0,130,9,BOS,WAS,1683.38121948133,1457.72229113203,1685.43536225444,1455.66814835892,1645.07827332424,1489.71985964192,130.0,121.0,75,15.0,45.0
2022-11-28,2023,1610612738,BOS,Boston Celtics,BOS vs. CHA,1.0,55.0,93.0,0.591,24.0,52.0,0.462,6.0,7.0,0.857,9.0,30.0,39.0,40.0,10.0,5.0,16.0,18.0,140,35,BOS,CHO,1685.43536225444,1446.36260838086,1690.22397978082,1441.57399085448,1663.59043285461,1285.44906851632,140.0,105.0,30,5.0,18.0
2022-11-30,2023,1610612738,BOS,Boston Celtics,BOS vs. MIA,1.0,46.0,83.0,0.554,22.0,45.0,0.489,20.0,23.0,0.87,11.0,30.0,41.0,32.0,7.0,0.0,18.0,18.0,134,13,BOS,MIA,1690.22397978082,1561.98184478889,1694.61371148318,1557.59211308653,1693.22558801181,1511.15219633217,134.0,121.0,85,13.0,49.0
2022-12-02,2023,1610612738,BOS,Boston Celtics,BOS vs. MIA,0.0,40.0,87.0,0.46,15.0,45.0,0.333,21.0,28.0,0.75,7.0,41.0,48.0,26.0,6.0,2.0,20.0,18.0,116,-4,BOS,MIA,1694.61371148318,1557.59211308653,1682.18205328015,1570.02377128956,1695.4802756622,1553.61076720274,116.0,120.0,90,18.0,54.0
2022-12-04,2023,1610612738,BOS,Boston Celtics,BOS @ BKN,1.0,35.0,81.0,0.432,15.0,38.0,0.395,18.0,20.0,0.9,8.0,40.0,48.0,18.0,11.0,9.0,17.0,19.0,103,11,BOS,BRK,1682.18205328015,1543.41628729398,1691.67546287416,1533.92287769997,1685.47812282465,1572.75293345392,103.0,92.0,91,32.0,62.0
2022-12-05,2023,1610612738,BOS,Boston Celtics,BOS @ TOR,1.0,44.0,90.0,0.489,13.0,36.0,0.361,15.0,21.0,0.714,13.0,36.0,49.0,27.0,6.0,3.0,11.0,22.0,116,6,BOS,TOR,1691.67546287416,1534.23950082591,1697.85733272709,1528.05763097298,1689.14205865634,1597.70716838582,116.0,110.0,93,26.0,60.0
2022-12-07,2023,1610612738,BOS,Boston Celtics,BOS @ PHX,1.0,49.0,101.0,0.485,16.0,45.0,0.356,11.0,13.0,0.846,11.0,42.0,53.0,29.0,14.0,3.0,13.0,20.0,125,27,BOS,PHO,1697.85733272709,1615.4848881801,1719.44866726681,1593.89355364038,1686.20590883854,1602.85240171144,125.0,98.0,93,17.0,55.0
2022-12-10,2023,1610612738,BOS,Boston Celtics,BOS @ GSW,0.0,38.0,87.0,0.437,12.0,40.0,0.3,19.0,26.0,0.731,6.0,33.0,39.0,17.0,8.0,6.0,10.0,14.0,107,-16,BOS,GSW,1719.44866726681,1586.7421011267,1703.65736009492,1602.53340829859,1703.53035834828,1566.95870582375,107.0,123.0,92,27.0,60.0
2022-12-12,2023,1610612738,BOS,Boston Celtics,BOS @ LAC,0.0,33.0,76.0,0.434,9.0,39.0,0.231,18.0,26.0,0.692,5.0,31.0,36.0,27.0,5.0,6.0,15.0,17.0,93,-20,BOS,LAC,1703.65736009492,1470.69975903662,1678.6363321118,1495.72078701974,1688.25689329218,1508.97509047403,93.0,113.0,84,38.0,61.0
2022-12-13,2023,1610612738,BOS,Boston Celtics,BOS @ LAL,1.0,46.0,104.0,0.442,19.0,48.0,0.396,11.0,16.0,0.688,13.0,38.0,51.0,27.0,6.0,2.0,14.0,22.0,122,4,BOS,LAL,1678.6363321118,1469.00172962351,1682.67454351273,1464.96351822258,1673.22931597963,1470.89253885534,122.0,118.0,76,20.0,48.0
2022-12-16,2023,1610612738,BOS,Boston Celtics,BOS vs. ORL,0.0,35.0,84.0,0.417,11.0,46.0,0.239,28.0,34.0,0.824,10.0,28.0,38.0,17.0,9.0,12.0,14.0,21.0,109,-8,BOS,ORL,1682.67454351273,1367.87693158765,1657.78342892657,1392.76804617381,1691.78839305533,1360.41533046411,109.0,117.0,54,2.0,28.0
2022-12-18,2023,1610612738,BOS,Boston Celtics,BOS vs. ORL,0.0,31.0,89.0,0.348,12.0,47.0,0.255,18.0,21.0,0.857,11.0,43.0,54.0,22.0,7.0,7.0,17.0,17.0,92,-3,BOS,ORL,1657.78342892657,1392.76804617381,1643.71157762565,1406.83989747473,1636.99072922189,1378.87371764643,92.0,95.0,49,2.0,26.0
2022-12-21,2023,1610612738,BOS,Boston Celtics,BOS vs. IND,0.0,39.0,101.0,0.386,13.0,41.0,0.317,21.0,25.0,0.84,25.0,37.0,62.0,26.0,11.0,5.0,17.0,9.0,112,-5,BOS,IND,1643.71157762565,1443.35048683618,1627.97730920352,1459.08475525831,1672.19341285357,1471.10511513934,112.0,117.0,76,12.0,44.0
2022-12-23,2023,1610612738,BOS,Boston Celtics,BOS vs. MIN,1.0,44.0,100.0,0.44,13.0,46.0,0.283,20.0,26.0,0.769,20.0,33.0,53.0,28.0,9.0,6.0,12.0,16.0,121,12,BOS,MIN,1627.97730920352,1500.30152112112,1632.15847088611,1496.12035943853,1662.2819378207,1512.98468663209,121.0,109.0,81,24.0,53.0
2022-12-25,2023,1610612738,BOS,Boston Celtics,BOS vs. MIL,1.0,50.0,85.0,0.588,19.0,39.0,0.487,20.0,25.0,0.8,5.0,30.0,35.0,29.0,9.0,1.0,12.0,18.0,139,21,BOS,MIL,1632.15847088611,1590.88279135198,1641.51369084362,1581.52757139447,1674.09768145153,1587.70206019201,139.0,118.0,91,9.0,50.0
2022-12-27,2023,1610612738,BOS,Boston Celtics,BOS vs. HOU,1.0,43.0,91.0,0.473,20.0,56.0,0.357,20.0,23.0,0.87,9.0,40.0,49.0,32.0,8.0,5.0,11.0,14.0,126,24,BOS,HOU,1641.51369084362,1365.04176512058,1644.45446577743,1362.10099018677,1686.925360741,1353.51325149113,126.0,102.0,51,0.0,26.0
2022-12-29,2023,1610612738,BOS,Boston Celtics,BOS vs. LAC,1.0,44.0,91.0,0.484,11.0,39.0,0.282,17.0,22.0,0.773,11.0,38.0,49.0,22.0,3.0,7.0,12.0,17.0,116,6,BOS,LAC,1644.45446577743,1520.49347523758,1647.28722084214,1517.66072017287,1689.83709769933,1559.96607796103,116.0,110.0,90,19.0,55.0
2023-01-01,2023,1610612738,BOS,Boston Celtics,BOS @ DEN,0.0,40.0,87.0,0.46,9.0,33.0,0.273,22.0,27.0,0.815,10.0,31.0,41.0,30.0,8.0,3.0,13.0,15.0,111,-12,BOS,DEN,1647.28722084214,1571.19845405486,1636.65397521101,1581.83169968599,1683.99606304037,1585.70675642133,111.0,123.0,92,9.0,51.0
2023-01-03,2023,1610612738,BOS,Boston Celtics,BOS @ OKC,0.0,40.0,88.0,0.455,12.0,40.0,0.3,25.0,31.0,0.806,11.0,27.0,38.0,29.0,4.0,7.0,17.0,15.0,117,-33,BOS,OKC,1636.65397521101,1415.14441593732,1601.96077906232,1449.83761208601,1669.70947838592,1326.86595175258,117.0,150.0,42,3.0,23.0
2023-01-05,2023,1610612738,BOS,Boston Celtics,BOS @ DAL,1.0,41.0,84.0,0.488,16.0,43.0,0.372,26.0,31.0,0.839,10.0,42.0,52.0,29.0,6.0,8.0,11.0,22.0,124,29,BOS,DAL,1601.96077906232,1573.34525373922,1629.17050957312,1546.13552322842,1651.73001504552,1598.01378546567,124.0,95.0,90,15.0,53.0
2023-01-07,2023,1610612738,BOS,Boston Celtics,BOS @ SAS,1.0,47.0,95.0,0.495,15.0,34.0,0.441,12.0,18.0,0.667,8.0,35.0,43.0,30.0,6.0,10.0,14.0,15.0,121,5,BOS,SAS,1629.17050957312,1376.67469125141,1632.85386924162,1372.99133158291,1666.64059223009,1295.41479953552,121.0,116.0,33,1.0,17.0
